android_webview.mojom.RenderMessageFilter.SubFrameCreated	SubFrameCreated	665907288	1095549411	302181006
android_webview.mojom.Renderer.ClearCache	ClearCache	1655526126	141736623	344750155
android_webview.mojom.Renderer.PrefetchNativeLibrary	PrefetchNativeLibrary	1317057130	551971431	1961363425
android_webview.mojom.Renderer.SetJsOnlineProperty	SetJsOnlineProperty	2071486092	159078341	777000610
app_home.mojom.Page.AddApp	AddApp	1083186995	1583861001	214405140
app_home.mojom.Page.RemoveApp	RemoveApp	1651787922	62372200	1408499727
app_home.mojom.Page.UpdateApp	UpdateApp	1928335495	736146957	1672043667
app_home.mojom.PageHandler.CreateAppShortcut	CreateAppShortcut	1345849476	1853657390	160316634
app_home.mojom.PageHandler.GetApps	GetApps	2041961211	447190680	2074422509
app_home.mojom.PageHandler.GetDeprecationLinkString	GetDeprecationLinkString	147866088	1714441838	1260698065
app_home.mojom.PageHandler.InstallAppLocally	InstallAppLocally	261095501	2099573665	1030440014
app_home.mojom.PageHandler.LaunchApp	LaunchApp	1474952073	1255586146	1215762890
app_home.mojom.PageHandler.LaunchDeprecatedAppDialog	LaunchDeprecatedAppDialog	1139283432	907152073	1558420783
app_home.mojom.PageHandler.SetRunOnOsLoginMode	SetRunOnOsLoginMode	400367795	1358111371	477874547
app_home.mojom.PageHandler.SetUserDisplayMode	SetUserDisplayMode	622595753	1744587576	576514537
app_home.mojom.PageHandler.ShowAppSettings	ShowAppSettings	350444980	1742362262	978676253
app_home.mojom.PageHandler.UninstallApp	UninstallApp	1844339170	671281876	252371155
app_home.mojom.PageHandlerFactory.CreatePageHandler	CreatePageHandler	1491630672	92645704	1049712340
app_management.mojom.Page.OnAppAdded	OnAppAdded	1588784171	980086013	214405140
app_management.mojom.Page.OnAppChanged	OnAppChanged	1413340269	221417723	1408499727
app_management.mojom.Page.OnAppRemoved	OnAppRemoved	2031494685	1396702147	1672043667
app_management.mojom.PageHandler.GetApp	GetApp	1376219224	1126925194	1260698065
app_management.mojom.PageHandler.GetApps	GetApps	2041961211	174446720	2074422509
app_management.mojom.PageHandler.GetExtensionAppPermissionMessages	GetExtensionAppPermissionMessages	996637266	1306165581	978676253
app_management.mojom.PageHandler.GetOverlappingPreferredApps	GetOverlappingPreferredApps	17607107	1735263763	703401204
app_management.mojom.PageHandler.GetSubAppToParentMap	GetSubAppToParentMap	2105836447	1526215250	252371155
app_management.mojom.PageHandler.OpenNativeSettings	OpenNativeSettings	395699999	193075067	1030440014
app_management.mojom.PageHandler.OpenStorePage	OpenStorePage	1467880109	1858583929	1872147519
app_management.mojom.PageHandler.SetAppLocale	SetAppLocale	259730258	1490609637	503066160
app_management.mojom.PageHandler.SetFileHandlingEnabled	SetFileHandlingEnabled	1889670073	2086509161	176590812
app_management.mojom.PageHandler.SetPermission	SetPermission	2097898550	1152028971	1215762890
app_management.mojom.PageHandler.SetPinned	SetPinned	14806677	98830793	160316634
app_management.mojom.PageHandler.SetPreferredApp	SetPreferredApp	481845687	282924503	576514537
app_management.mojom.PageHandler.SetResizeLocked	SetResizeLocked	864314197	846904657	477874547
app_management.mojom.PageHandler.SetRunOnOsLoginMode	SetRunOnOsLoginMode	400367795	1160131979	1109170374
app_management.mojom.PageHandler.SetWindowMode	SetWindowMode	658677038	1839732739	1398728236
app_management.mojom.PageHandler.ShowDefaultAppAssociationsUi	ShowDefaultAppAssociationsUi	73304804	185529621	1530853526
app_management.mojom.PageHandler.Uninstall	Uninstall	1579573633	486721961	1558420783
app_management.mojom.PageHandler.UpdateAppSize	UpdateAppSize	324876116	1004021994	527806321
app_management.mojom.PageHandlerFactory.CreatePageHandler	CreatePageHandler	1491630672	2008087300	1049712340
arc.keymaster.mojom.CertStoreInstance.UpdatePlaceholderKeys	UpdatePlaceholderKeys	356420321	1382596209	1
arc.keymint.mojom.CertStoreInstance.SetSerialNumber	SetSerialNumber	1039673964	1995451943	2
